outcome	term	estimate	std.error	statistic	p.value	blood_group_type	predictors_name
COV+ vs COV-	(Intercept)	-2.440873119633349	0.3411086989110294	-7.155704698900089	8.324416857640041e-13	ABO	blood_group_rf
COV+ vs COV-	sex	0.29716942784076167	0.1087881509326318	2.7316341466708716	0.006302107932044607	ABO	blood_group_rf
COV+ vs COV-	age	0.017988768945727675	0.0027507076961021024	6.53968757611676	6.16474784124497e-11	ABO	blood_group_rf
COV+ vs COV-	hypertension	0.11131203527358707	0.2026097209870943	0.5493913852271548	0.5827368848183289	ABO	blood_group_rf
COV+ vs COV-	diabetes	0.158895395483662	0.14457841308081382	1.0990257265781824	0.27175684454467164	ABO	blood_group_rf
COV+ vs COV-	overweight	-0.09244629461876071	0.17184820088676275	-0.5379532293135676	0.5906093385368276	ABO	blood_group_rf
COV+ vs COV-	resp_diseases	0.26484896077538456	0.14828187136717824	1.7861182782051677	0.07408010925031795	ABO	blood_group_rf
COV+ vs COV-	cv_diseases	-0.09373489852031489	0.20792986474952282	-0.450800555433584	0.6521333009634869	ABO	blood_group_rf
COV+ vs COV-	A	0.7524353591826178	0.2867377453656688	2.624123860020792	0.008687218710533936	ABO	blood_group_rf
COV+ vs COV-	B	0.7572510023954859	0.3010524027691008	2.5153461504716086	0.011891556551371345	ABO	blood_group_rf
COV+ vs COV-	O	0.5036525378353651	0.28153400155855324	1.788958118902792	0.07362156068118282	ABO	blood_group_rf
COV+/Intubated vs COV+/Not intubated	(Intercept)	-1.1663099825430927	0.6021789049002619	-1.9368164063074693	0.05276778969543764	ABO	blood_group_rf
COV+/Intubated vs COV+/Not intubated	sex	0.4035208993788115	0.179856095196012	2.2435764489329295	0.024859665965807812	ABO	blood_group_rf
COV+/Intubated vs COV+/Not intubated	age	0.004573731112467975	0.005078812331457764	0.9005513127820542	0.3678269310855091	ABO	blood_group_rf
COV+/Intubated vs COV+/Not intubated	hypertension	-0.2969381642984234	0.3397748181658932	-0.8739263430447778	0.38215836756849836	ABO	blood_group_rf
COV+/Intubated vs COV+/Not intubated	diabetes	-0.10012347463864316	0.22345573933503263	-0.4480684852248328	0.6541037714604472	ABO	blood_group_rf
COV+/Intubated vs COV+/Not intubated	overweight	0.027171602819664176	0.28829671307910953	0.09424874300321351	0.9249115657460301	ABO	blood_group_rf
COV+/Intubated vs COV+/Not intubated	resp_diseases	-0.25725995026672877	0.24393774955545477	-1.0546131164018362	0.29160230250611785	ABO	blood_group_rf
COV+/Intubated vs COV+/Not intubated	cv_diseases	0.06819676027145206	0.35159445108772397	0.1939642678104631	0.8462038606747049	ABO	blood_group_rf
COV+/Intubated vs COV+/Not intubated	A	-0.4273655136389575	0.4830714823337123	-0.8846837978809265	0.37632719657011304	ABO	blood_group_rf
COV+/Intubated vs COV+/Not intubated	B	-0.259891132602608	0.5033259139614916	-0.5163476097566709	0.6056116496787509	ABO	blood_group_rf
COV+/Intubated vs COV+/Not intubated	O	-0.597901748443404	0.47799403528382306	-1.2508560867048941	0.21098698773072602	ABO	blood_group_rf
COV+/Died vs COV+/Alive	(Intercept)	-7.918709744642833	1.1282028665866755	-7.018870434712257	2.2366907029983147e-12	ABO	blood_group_rf
COV+/Died vs COV+/Alive	sex	0.8157253724552365	0.2802432664003402	2.9107759944887874	0.0036053239331658438	ABO	blood_group_rf
COV+/Died vs COV+/Alive	age	0.08238368935997736	0.011336542475133184	7.267091314718468	3.673105237313431e-13	ABO	blood_group_rf
COV+/Died vs COV+/Alive	hypertension	-0.5970555584959872	0.6196760315767935	-0.9634962917264244	0.33529852422282247	ABO	blood_group_rf
COV+/Died vs COV+/Alive	diabetes	0.3683846097799731	0.319130189548911	1.1543395825405394	0.24836097449602915	ABO	blood_group_rf
COV+/Died vs COV+/Alive	overweight	-0.5758576407691437	0.5166751853846092	-1.1145447992445767	0.26504553659189334	ABO	blood_group_rf
COV+/Died vs COV+/Alive	resp_diseases	0.1537544699968972	0.41451181348607963	0.37092904229630763	0.7106903831675317	ABO	blood_group_rf
COV+/Died vs COV+/Alive	cv_diseases	-0.5778658326315197	0.6810361225864123	-0.8485098124265765	0.3961541101190904	ABO	blood_group_rf
COV+/Died vs COV+/Alive	A	-0.6614367953237411	0.616745327097224	-1.0724634079302429	0.28351194104060984	ABO	blood_group_rf
COV+/Died vs COV+/Alive	B	-0.5968833590951237	0.6638361769349885	-0.8991425593148689	0.3685767313851975	ABO	blood_group_rf
COV+/Died vs COV+/Alive	O	-0.5217003728745043	0.6064899151242803	-0.8601962866399829	0.38968085127695656	ABO	blood_group_rf
COV+ vs COV-	(Intercept)	-16.210434666274878	385.71688851756335	-0.042026769241494455	0.9664773581961019	ABO+Rh	blood_group_rf
COV+ vs COV-	sex	0.3032925572394002	0.10897543228104647	2.7831278196466513	0.005383759149727167	ABO+Rh	blood_group_rf
COV+ vs COV-	age	0.018134141906194397	0.00275835774829093	6.5742530741091345	4.8898002989939614e-11	ABO+Rh	blood_group_rf
COV+ vs COV-	hypertension	0.0934418513163911	0.2038324631265344	0.4584247763241942	0.6466472947402673	ABO+Rh	blood_group_rf
COV+ vs COV-	diabetes	0.15572986246268275	0.1450756586773138	1.0734389482185063	0.28307421729333293	ABO+Rh	blood_group_rf
