blood_group	comparison	method	alternative	estimate	conf.low	conf.high	p.value
A-neg	positive_vs_general	Fisher's Exact Test for Count Data	two.sided	0.7026593300175024	0.47790381708317153	0.9985983475867419	0.04709961201966734
A-neg	positive_vs_negative	Fisher's Exact Test for Count Data	two.sided	0.6191247750734811	0.38373537965144716	0.9848653219478705	0.03629607504499382
A-neg	intubated_covid_positive_vs_not_intubated_covid_positive	Fisher's Exact Test for Count Data	two.sided	0.2760211547966842	0.053504419086542625	0.898566667858378	0.0249636185510577
A-neg	died_covid_positive_vs_alive_covid_positive	Fisher's Exact Test for Count Data	two.sided	0.47723757166744096	0.09230066119331348	1.5584458159456767	0.3447122384421666
A-pos	positive_vs_general	Fisher's Exact Test for Count Data	two.sided	1.0920904328480165	0.9734126512876401	1.2237831511928243	0.12818716175786082
A-pos	positive_vs_negative	Fisher's Exact Test for Count Data	two.sided	1.1746558887573793	0.9982889782745384	1.382320011961523	0.05095509318308926
A-pos	intubated_covid_positive_vs_not_intubated_covid_positive	Fisher's Exact Test for Count Data	two.sided	0.8006714490536053	0.6118371307446497	1.0434031684764562	0.09401316859542669
A-pos	died_covid_positive_vs_alive_covid_positive	Fisher's Exact Test for Count Data	two.sided	0.8160717197868785	0.5938987309245036	1.1126403964158087	0.2025160790150374
AB-pos	positive_vs_general	Fisher's Exact Test for Count Data	two.sided	0.8719929579598735	0.6386968133555334	1.164945214822571	0.40435123811817836
AB-pos	positive_vs_negative	Fisher's Exact Test for Count Data	two.sided	0.85542066053821475	0.5667884264289631	1.2859230020944585	0.4885866143957396
AB-pos	intubated_covid_positive_vs_not_intubated_covid_positive	Fisher's Exact Test for Count Data	two.sided	1.8234075316199525	0.9535746833451726	3.4120615425383223	0.0477576954221308
AB-pos	died_covid_positive_vs_alive_covid_positive	Fisher's Exact Test for Count Data	two.sided	1.977487092105764	0.9645023412282809	3.8540831839825676	0.050965841763198724
B-neg	positive_vs_general	Fisher's Exact Test for Count Data	two.sided	0.9657196154665308	0.5689399862107198	1.5375741281915127	1
B-neg	positive_vs_negative	Fisher's Exact Test for Count Data	two.sided	0.9845900984753558	0.48508202530613986	1.9910395109778622	1
B-neg	intubated_covid_positive_vs_not_intubated_covid_positive	Fisher's Exact Test for Count Data	two.sided	0.7754361414030313	0.1847030064599636	2.489522724038315	0.7933347909454876
B-neg	died_covid_positive_vs_alive_covid_positive	Fisher's Exact Test for Count Data	two.sided	0.5808360651582041	0.06438560275016322	2.495601687329196	0.7547545850289514
B-pos	positive_vs_general	Fisher's Exact Test for Count Data	two.sided	1.0986718831609148	0.9433596987732128	1.2744377304892378	0.2131734448060486
B-pos	positive_vs_negative	Fisher's Exact Test for Count Data	two.sided	1.1137634635575566	0.8984797049184442	1.3809156308962214	0.33669527397394067
B-pos	intubated_covid_positive_vs_not_intubated_covid_positive	Fisher's Exact Test for Count Data	two.sided	1.2652082372656959	0.9037473125330808	1.7579174397104274	0.15219602744232194
B-pos	died_covid_positive_vs_alive_covid_positive	Fisher's Exact Test for Count Data	two.sided	1.1180987070561388	0.7477431352240353	1.6426846055326227	0.5567745367816737
O-neg	positive_vs_general	Fisher's Exact Test for Count Data	two.sided	0.7388772589567235	0.5394958851629496	0.9897265796696367	0.04342418118597326
O-neg	positive_vs_negative	Fisher's Exact Test for Count Data	two.sided	0.9565242987567957	0.6249804511095908	1.4612726391856232	0.8379462782650374
O-neg	intubated_covid_positive_vs_not_intubated_covid_positive	Fisher's Exact Test for Count Data	two.sided	0.7286652930740456	0.31979646474078005	1.5133669579847941	0.5030205660483578
O-neg	died_covid_positive_vs_alive_covid_positive	Fisher's Exact Test for Count Data	two.sided	0.20138935229028623	0.023482295679269453	0.7800815599550255	0.010457287512089795
O-pos	positive_vs_general	Fisher's Exact Test for Count Data	two.sided	0.9817955917976777	0.881877493574662	1.0926352838163427	0.7465871254269385
O-pos	positive_vs_negative	Fisher's Exact Test for Count Data	two.sided	0.8993323011223561	0.7744609827263326	1.0442520166404132	0.16638868070236826
O-pos	intubated_covid_positive_vs_not_intubated_covid_positive	Fisher's Exact Test for Count Data	two.sided	1.1151448409113223	0.8739908160044587	1.421990679979021	0.3655437879818568
O-pos	died_covid_positive_vs_alive_covid_positive	Fisher's Exact Test for Count Data	two.sided	1.2262408727143914	0.9231416262142184	1.6278873495419797	0.15969434588076853
