outcome	comparison	Resid. Df	Resid. Dev	Df	Deviance	Pr(>Chi)
covid_result_binary	rf_vs_null	2896	4014.810237063952	NA	NA	NA
covid_result_binary	rf_vs_null	2889	3608.966084791508	7	405.84415227244426	1.3309633382418927e-83
covid_result_binary	abo_vs_null	2896	4014.810237063952	NA	NA	NA
covid_result_binary	abo_vs_null	2893	4010.485728453462	3	4.324508610490284	0.22848809737327724
covid_result_binary	abo_rh_vs_null	2896	4014.810237063952	NA	NA	NA
covid_result_binary	abo_rh_vs_null	2889	3998.2356537235037	7	16.5745833404485	0.02035518494621437
covid_result_binary	abo_rf_vs_rf	2889	3608.966084791508	NA	NA	NA
covid_result_binary	abo_rf_vs_rf	2886	3602.496455177752	3	6.469629613755842	0.09086796262573278
covid_result_binary	abo_rh_rf_vs_rf	2889	3608.966084791508	NA	NA	NA
covid_result_binary	abo_rh_rf_vs_rf	2882	3592.3594316222607	7	16.606653169247238	0.020116421963006045
died_binary	rf_vs_null	1417	1320.8487087072247	NA	NA	NA
died_binary	rf_vs_null	1410	1118.2723739166752	7	202.57633479054948	3.26718086828247e-40
died_binary	abo_vs_null	1417	1320.8487087072247	NA	NA	NA
died_binary	abo_vs_null	1414	1314.7860800969931	3	6.0626286102315134	0.10860264686480194
died_binary	abo_rh_vs_null	1417	1320.8487087072247	NA	NA	NA
died_binary	abo_rh_vs_null	1411	1304.1199573711724	6	16.728751336052255	0.010333559920432467
died_binary	abo_rf_vs_rf	1410	1118.2723739166752	NA	NA	NA
died_binary	abo_rf_vs_rf	1407	1112.4272371707098	3	5.845136745965419	0.11939261285277933
died_binary	abo_rh_rf_vs_rf	1410	1118.2723739166752	NA	NA	NA
died_binary	abo_rh_rf_vs_rf	1404	1104.8200471514788	6	13.452326765196403	0.03638959862995783
intubation_binary	rf_vs_null	1417	1650.4096835985324	NA	NA	NA
intubation_binary	rf_vs_null	1410	1598.549240445171	7	51.8604431533613	6.220229511258863e-9
intubation_binary	abo_vs_null	1417	1650.4096835985324	NA	NA	NA
intubation_binary	abo_vs_null	1414	1641.4394444064376	3	8.970239192094823	0.02968920078953242
intubation_binary	abo_rh_vs_null	1417	1650.4096835985324	NA	NA	NA
intubation_binary	abo_rh_vs_null	1411	1635.458970603597	6	14.95071299493543	0.020643540427951416
intubation_binary	abo_rf_vs_rf	1410	1598.549240445171	NA	NA	NA
intubation_binary	abo_rf_vs_rf	1407	1592.070762318256	3	6.478478126915206	0.09051514861604502
intubation_binary	abo_rh_rf_vs_rf	1410	1598.549240445171	NA	NA	NA
intubation_binary	abo_rh_rf_vs_rf	1404	1586.598908604068	6	11.950331841103207	0.06308605668649377
