blood_group	term	estimate	std.error	statistic	p.value	blood_group_type
A	(Intercept)	-1.1544773539426516	0.20535838868483894	-5.621768661782861	1.8901226603157545e-8	ABO
A	sex	-0.08900499155998455	0.11340796715560651	-0.7848213295090745	0.43255833252665693	ABO
A	age	0.007848493721097069	0.002813171712156354	2.789909228498902	0.005272282068350589	ABO
A	hypertension	-0.24882388720110024	0.20728668082975849	-1.2003853127710393	0.22998973030391728	ABO
A	diabetes	0.023352539613950295	0.15135324784408338	0.15429163197083767	0.8773797950318953	ABO
A	overweight	-0.297989728268478	0.1854137261926536	-1.607161100677372	0.10801903274655768	ABO
A	resp_diseases	0.2164908557585478	0.15457347510435665	1.40056924781169	0.161342922319783	ABO
A	cv_diseases	0.1187172716546	0.21118863049366618	0.5621385553620534	0.5740216213177519	ABO
AB	(Intercept)	-3.616758955309473	0.4679884674780122	-7.7283078679271116	1.0898551533313058e-14	ABO
AB	sex	0.14241899190002397	0.25466982350269	0.5592299470004526	0.576004797578419	ABO
AB	age	0.013577976739776773	0.006126437812684517	2.2162922655746504	0.02667149239227883	ABO
AB	hypertension	-0.6858092452284954	0.46566438444806874	-1.4727543444005378	0.14081728711424782	ABO
AB	diabetes	-0.20888936510591827	0.38297919905748923	-0.5454326648026693	0.5854559797396051	ABO
AB	overweight	-0.19237754213203842	0.4993923053002041	-0.38522328055574023	0.7000719964334458	ABO
AB	resp_diseases	-0.10549236995031384	0.3511940043663058	-0.3003820356804331	0.7638857648205778	ABO
AB	cv_diseases	-0.031809667715924576	0.44931939594170833	-0.07079522496298234	0.943560732218374	ABO
B	(Intercept)	-1.36071152047223	0.24767863695853354	-5.493859047278433	3.932443956665304e-8	ABO
B	sex	-0.13363601110685694	0.14223926928556543	-0.939515590723148	0.34746609139534346	ABO
B	age	-0.002516136437520263	0.0034194787039241235	-0.7358245672455268	0.46183746821794497	ABO
B	hypertension	0.02268483748997565	0.2516583230045154	0.09014141562712641	0.9281748382505456	ABO
B	diabetes	-0.4340674015370814	0.19513743356381888	-2.2244189318761407	0.026120271270406458	ABO
B	overweight	0.06541034171694872	0.22584428160773518	0.2896258486214796	0.772102489832863	ABO
B	resp_diseases	-0.042493090224501734	0.19042766248089293	-0.223145574917538	0.8234222088151157	ABO
B	cv_diseases	0.28165307400450634	0.25536912816881496	1.102925306689053	0.2700596033246568	ABO
O	(Intercept)	0.153758247762321	0.18619348296512625	0.8257982251243438	0.4089185610971131	ABO
O	sex	0.12140575636358607	0.10462351885302223	1.1604059746273678	0.24588355538407983	ABO
O	age	-0.007604393101816902	0.002565721034418979	-2.9638425221621794	0.003038237251697124	ABO
O	hypertension	0.32150425933518684	0.19662457050964247	1.6351174143794012	0.1020244362275924	ABO
O	diabetes	0.24774351812033457	0.14167019708770007	1.7487341954283473	0.080336976215041	ABO
O	overweight	0.2361609535484173	0.16761602433045336	1.408940192274387	0.158852853634345	ABO
O	resp_diseases	-0.13663263269020576	0.14240110222047345	-0.9594913983085845	0.33731125089834313	ABO
O	cv_diseases	-0.26332694489084807	0.19866529842340122	-1.325480327871041	0.1850118899189232	ABO
A_neg	(Intercept)	-3.2434040449411596	0.5625708241194959	-5.765325725907583	8.15002807663005e-9	ABO+Rh
A_neg	sex	-0.0657513209624859	0.3223577149400653	-0.20397005536135773	0.8383768993308847	ABO+Rh
